Name,State,Latitude,Longitude,Status,Commodity Group,,,,,
Maralla Road,WA,-31.7388,115.9704,Operating mine,Silicon (High purity silica/quartz),,,,,
Marble Bar,WA,-21.1881,119.8640,Mineral deposit,Lithium +/- Tantalum +/- Niobium,,,,,
Maroochydore,WA,-22.1991,122.3141,Mineral deposit,Cobalt,,,,,
Marriott,WA,-28.4491,120.9915,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Mary Kathleen,QLD,-20.7155,140.0040,Mineral deposit,Rare Earth Elements (REE),,,,,
Massidon,NSW,-33.1306,141.3444,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Maureen,QLD,-18.0030,143.4270,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Mawson,WA,-30.7375,124.4468,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
May Downs,Qld ,-20.6570,139.4149,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Maydena,TAS,-42.7768,146.5894,Mineral deposit,Silicon (High purity silica/quartz),,,,,
McCabe,QLD,-21.0673,140.4894,Mineral deposit,Cobalt,,,,,
McCalls,WA,-30.9578,115.9294,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
McIntosh,WA,-17.6111,127.9626,Mineral deposit,Graphite,,,,,
Meckering,WA,-31.6847,117.0608,Mineral deposit,High Purity Alumina,,,,,
Medcalf,WA,-32.5338,120.7931,Mineral deposit,"Titanium, Vanadium",,,,,
Meecharra,WA,-22.0766,120.4043,Mineral deposit,Manganese Ore,,,,,
Meentheena,WA,-21.2368,120.4742,Mineral deposit,Fluorine,,,,,
Melba Flats,TAS,-41.8500,145.3833,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Mercury,VIC,-34.8989,142.3522,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Merlin,QLD,-21.6533,140.4931,Mine - care and maintenance,Molybdenum +/- Rhenium,,,,,
MG14,SA,-31.4346,137.1509,Mineral deposit,Cobalt,,,,,
Millennium,QLD,-20.5968,140.1943,Mineral deposit,Cobalt,,,,,
Milo,QLD,-20.7587,140.2222,Mineral deposit,Rare Earth Elements (REE),,,,,
Mindarie,SA,-34.7563,140.1389,Mine - under development,"Heavy mineral sands - Titanium, Zirconium",,,,,
Mindijup,WA,-34.7689,118.0768,Operating mine,Silicon (High purity silica/quartz),,,,,
Mineral Patch Hill,WA,-29.0369,122.9846,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Miriam,WA,-31.0712,121.0878,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Mission Sill,WA,-32.2016,121.6646,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Mitre Hill,VIC,-37.2254,140.9960,Mineral deposit,Rare Earth Elements (REE),,,,,
Moina,TAS,-41.4885,146.0802,Mineral deposit,Tungsten,,,,,
Molyhil,NT,-22.7589,135.7503,Mine - under development,"Tungsten, Molybdenum",,,,,
Monogorilby,QLD,-26.0644,151.0263,Mineral deposit,"Titanium, Vanadium",,,,,
Moora,WA,-30.5153,116.0345,Operating mine,Silicon (High purity silica/quartz),,,,,
Mount Cannindah,QLD,-24.6697,151.2734,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Mount Carbine,QLD,-16.5241,145.1321,Operating mine,Tungsten,,,,,
Mount Cattlin,WA,-33.5625,120.0340,Operating mine,Lithium +/- Tantalum +/- Niobium,,,,,
Mount Cobalt,QLD,-26.1962,152.2759,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Mount Deans,WA,-32.3045,121.7851,Mineral deposit,Lithium +/- Tantalum +/- Niobium,,,,,
Mount Dromedary,QLD,-19.6180,140.2160,Mineral deposit,Graphite,,,,,
Mount Fitch,NT,-12.9468,130.9483,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Mount Holland,WA,-32.0876,119.7485,Mine - under development,Lithium +/- Tantalum +/- Niobium,,,,,
Mount Hope,SA,-34.1629,135.3798,Mineral deposit,High Purity Alumina,,,,,
Mount Hutton,SA,-30.4890,138.3020,Mineral deposit,Magnesium,,,,,
Mount Ida,WA,-29.0940,120.4610,Mineral deposit,Lithium +/- Tantalum +/- Niobium,,,,,
